# Метеостанция Санкт-Петербург, Россия, WMO_ID=26063, выборка с 01.01.2019 по 30.07.2019, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26063&lang=ru
#
"Местное время в Санкт-Петербурге";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.07.2019 09:00";"";"764.8";"765.4";"-0.2";"";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"19.4";"";"";"";"";"";"";"10.0";"14.9";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"17.0";"";"";
"27.07.2019 06:00";"19.6";"765.0";"765.5";"-0.6";"69";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"19.4";"";"";"";"";"";"";"10.0";"13.7";"Осадков нет";"12";"";"";"";"";
"27.07.2019 03:00";"20.2";"765.6";"766.1";"-0.1";"66";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"27.07.2019 00:00";"22.1";"765.7";"766.3";"0.1";"64";"Ветер, дующий с северо-северо-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"14.9";"";"";"";"";"";"";
"26.07.2019 21:00";"25.9";"765.6";"766.1";"-0.2";"53";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"29.5";"";"";"";"";"";"10.0";"15.6";"Осадков нет";"12";"";"";"";"";
"26.07.2019 18:00";"28.5";"765.8";"766.4";"-0.3";"46";"Ветер, дующий с востоко-северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.6";"Осадков нет";"12";"";"";"";"";
"26.07.2019 15:00";"29.2";"766.1";"766.6";"-0.4";"45";"Ветер, дующий с востоко-северо-востока";"1";"";"";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"16.2";"";"";"";"";"";"";
"26.07.2019 12:00";"27.8";"766.5";"767.0";"0.1";"47";"Ветер, дующий с востока";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"15.4";"";"";"";"";"";"";
"26.07.2019 09:00";"23.4";"766.4";"766.9";"0.4";"63";"Ветер, дующий с востоко-северо-востока";"1";"";"";"40%.";" ";"";"";"17.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"15.9";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"16.0";"";"";
"26.07.2019 06:00";"18.8";"766.0";"766.6";"0.7";"80";"Ветер, дующий с востока";"1";"";"";"20–30%.";" ";"";"";"17.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"15.3";"Осадков нет";"12";"";"";"";"";
"26.07.2019 03:00";"18.1";"765.3";"765.8";"0.5";"84";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"26.07.2019 00:00";"18.2";"764.8";"765.3";"0.8";"84";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"25.07.2019 21:00";"20.6";"764.0";"764.5";"0.7";"73";"Ветер, дующий с северо-северо-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"24.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"1.0";"15.5";"Осадков нет";"12";"";"";"";"";
"25.07.2019 18:00";"21.3";"763.3";"763.8";"0.0";"67";"Ветер, дующий с северо-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"50%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"14.8";"Осадков нет";"12";"";"";"";"";
"25.07.2019 15:00";"21.7";"763.3";"763.8";"0.6";"61";"Ветер, дующий с северо-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"50%.";"300-600";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.7";"";"";"";"";"";"";
"25.07.2019 12:00";"22.0";"762.7";"763.3";"0.4";"53";"Ветер, дующий с северо-северо-востока";"2";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"11.9";"";"";"";"";"";"";
"25.07.2019 09:00";"19.3";"762.3";"762.8";"0.5";"62";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"14.7";"";"";"";"";"";"";"10.0";"11.9";"Осадков нет";"12";"Поверхность почвы влажная.";"13.0";"";"";
"25.07.2019 06:00";"15.0";"761.8";"762.4";"0.0";"81";"Ветер, дующий с северо-северо-востока";"1";"";"";"10%  или менее, но не 0";" ";"";"";"14.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"11.8";"Осадков нет";"12";"";"";"";"";
"25.07.2019 03:00";"15.3";"761.8";"762.4";"0.4";"76";"Ветер, дующий с северо-северо-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"11.0";"";"";"";"";"";"";
"25.07.2019 00:00";"16.1";"761.4";"762.0";"0.1";"68";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.2";"";"";"";"";"";"";
"24.07.2019 21:00";"17.8";"761.3";"761.8";"0.4";"59";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"23.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"9.7";"Следы осадков";"12";"";"";"";"";
"24.07.2019 18:00";"18.5";"760.9";"761.5";"0.8";"63";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"11.3";"0.3";"12";"";"";"";"";
