# Метеостанция Иркутск, Россия, WMO_ID=30710, выборка с 01.01.2016 по 30.07.2016, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=30710&lang=ru
#
"Местное время в Иркутске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.07.2016 17:00";"27.4";"715.0";"753.7";"-0.3";"44";"Ветер, дующий с западо-северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"13.9";"";"";"";"";"";"";
"29.07.2016 14:00";"25.3";"715.3";"754.3";"-0.4";"58";"Ветер, дующий с западо-северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"16.5";"";"";"";"";"";"";
"29.07.2016 11:00";"22.9";"715.7";"755.0";"-0.2";"71";"Ветер, дующий с западо-северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"17.3";"";"";"";"";"";"";
"29.07.2016 08:00";"18.3";"715.9";"755.8";"0.9";"96";"Ветер, дующий с запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"17.6";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"17.7";"13.0";"12";"Поверхность почвы влажная.";"18.0";"";"";
"29.07.2016 05:00";"17.7";"715.0";"754.9";"0.0";"98";"Ветер, дующий с запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"17.3";"";"";"";"";"";"";
"29.07.2016 02:00";"18.8";"715.0";"754.8";"0.4";"91";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"17.3";"";"";"";"";"";"";
"28.07.2016 23:00";"18.4";"714.6";"754.5";"0.0";"94";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"17.4";"";"";"";"";"";"";
"28.07.2016 20:00";"19.9";"714.6";"754.2";"0.8";"91";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"23.2";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"18.3";"3.0";"12";"";"";"";"";
"28.07.2016 17:00";"18.8";"713.8";"753.5";"0.6";"93";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"17.7";"";"";"";"";"";"";
"28.07.2016 14:00";"21.9";"713.2";"752.5";"0.0";"71";"Ветер, дующий с запада";"3";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"16.4";"";"";"";"";"";"";
"28.07.2016 11:00";"21.1";"713.2";"752.6";"0.6";"79";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"4.0";"17.3";"";"";"";"";"";"";
"28.07.2016 08:00";"18.4";"712.6";"752.5";"0.9";"84";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"16.5";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"4.0";"15.6";"Следы осадков";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"17.0";"";"";
"28.07.2016 05:00";"16.8";"711.7";"751.7";"-0.1";"79";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"4.0";"13.1";"";"";"";"";"";"";
"28.07.2016 02:00";"17.9";"711.8";"751.6";"-0.2";"75";"Ветер, дующий с востока";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"4.0";"13.3";"";"";"";"";"";"";
"27.07.2016 23:00";"20.2";"712.0";"751.5";"0.1";"63";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";"Мгла. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"4.0";"12.9";"";"";"";"";"";"";
"27.07.2016 20:00";"24.2";"711.9";"750.9";"-0.2";"60";"Ветер, дующий с юго-востока";"2";"";"";"100%.";"Мгла. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"28.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"4.0";"15.9";"Осадков нет";"12";"";"";"";"";
"27.07.2016 17:00";"28.5";"712.1";"750.5";"-1.0";"41";"Ветер, дующий с юго-востока";"1";"";"";"100%.";"Мгла. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"4.0";"14.1";"";"";"";"";"";"";
"27.07.2016 14:00";"26.8";"713.1";"751.7";"-1.3";"51";"Ветер, дующий с востока";"1";"";"";"60%.";"Мгла. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"4.0";"15.7";"";"";"";"";"";"";
"27.07.2016 11:00";"23.0";"714.4";"753.7";"-0.6";"61";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"27.07.2016 08:00";"15.7";"715.0";"755.3";"0.4";"80";"Ветер, дующий с юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"13.2";"";"";"";"";"";"";"10.0";"12.3";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"14.0";"";"";
"27.07.2016 05:00";"13.3";"714.6";"755.3";"-0.1";"87";"Ветер, дующий с востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"11.1";"";"";"";"";"";"";
"27.07.2016 02:00";"16.1";"714.7";"755.0";"0.0";"81";"Ветер, дующий с востоко-юго-востока";"2";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"26.07.2016 23:00";"18.6";"714.7";"754.6";"1.5";"53";"Ветер, дующий с юго-юго-востока";"2";"";"";"Облаков нет.";"Мгла. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"26.07.2016 20:00";"23.9";"713.2";"752.2";"0.5";"45";"Ветер, дующий с юго-юго-востока";"2";"";"";"20–30%.";" ";"";"";"";"29.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"11.2";"Осадков нет";"12";"";"";"";"";
"26.07.2016 17:00";"29.2";"712.7";"751.1";"-0.6";"30";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"9.9";"";"";"";"";"";"";
"26.07.2016 14:00";"28.1";"713.3";"751.9";"-1.1";"32";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.9";"";"";"";"";"";"";
"26.07.2016 11:00";"22.7";"714.4";"753.8";"-0.6";"50";"Ветер, дующий с востоко-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.6";"";"";"";"";"";"";
"26.07.2016 08:00";"16.3";"715.0";"755.3";"-0.1";"75";"Ветер, дующий с юго-востока";"2";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"12.3";"";"";"";"";"";"";"4.0";"11.8";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"13.0";"";"";
"26.07.2016 05:00";"12.7";"715.1";"755.9";"0.2";"84";"Ветер, дующий с востоко-северо-востока";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"10.0";"";"";"";"";"";"";
"26.07.2016 02:00";"16.6";"714.9";"755.1";"-0.1";"85";"Ветер, дующий с востоко-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"25.07.2016 23:00";"18.3";"715.0";"755.0";"0.6";"73";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"25.07.2016 20:00";"24.7";"714.4";"753.4";"0.4";"35";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"29.8";"";"";"";"";"";"20.0";"8.4";"Осадков нет";"12";"";"";"";"";
"25.07.2016 17:00";"29.4";"714.0";"752.5";"-0.4";"23";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"6.2";"";"";"";"";"";"";
"25.07.2016 14:00";"29.0";"714.4";"752.9";"-0.6";"26";"Ветер, дующий с юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.6";"";"";"";"";"";"";
"25.07.2016 11:00";"22.9";"715.0";"754.3";"-0.1";"53";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";"Мгла. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"25.07.2016 08:00";"15.1";"715.1";"755.5";"0.1";"74";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"11.6";"";"";"";"";"";"";"4.0";"10.4";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"12.0";"";"";
"25.07.2016 05:00";"12.0";"715.0";"755.9";"0.0";"89";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"25.07.2016 02:00";"14.6";"715.0";"755.5";"0.0";"87";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.4";"";"";"";"";"";"";
"24.07.2016 23:00";"18.2";"715.0";"755.0";"0.5";"75";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"24.07.2016 20:00";"24.2";"714.5";"753.7";"-0.1";"36";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"28.4";"";"";"";"";"";"10.0";"8.2";"Осадков нет";"12";"";"";"";"";
"24.07.2016 17:00";"28.4";"714.6";"753.2";"-0.7";"28";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"8.2";"";"";"";"";"";"";
"24.07.2016 14:00";"26.7";"715.3";"754.3";"-1.0";"34";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";"Мгла. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"24.07.2016 11:00";"22.0";"716.3";"755.8";"-0.5";"55";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Мгла. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"2.0";"12.5";"";"";"";"";"";"";
"24.07.2016 08:00";"14.5";"716.8";"757.4";"-0.1";"77";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"10.9";"";"";"";"";"";"";"0.5";"10.5";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"12.0";"";"";
"24.07.2016 05:00";"11.2";"716.9";"758.1";"-0.4";"94";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"";"";"";"";"0.5";"10.3";"";"";"";"";"";"";
"24.07.2016 02:00";"13.4";"717.3";"758.1";"0.0";"91";"Ветер, дующий с северо-востока";"2";"";"";"Облаков нет.";"Дымка. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"2.0";"12.0";"";"";"";"";"";"";
"23.07.2016 23:00";"16.1";"717.3";"757.7";"0.5";"76";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Мгла. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"2.0";"11.9";"";"";"";"";"";"";
"23.07.2016 20:00";"21.3";"716.8";"756.4";"0.0";"57";"Ветер, дующий с западо-юго-запада";"1";"";"";"Облаков нет.";"Мгла. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"25.7";"";"";"";"";"";"10.0";"12.3";"Осадков нет";"12";"";"";"";"";
"23.07.2016 17:00";"25.1";"716.8";"756.0";"-0.5";"34";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";"Мгла. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"2.0";"8.1";"";"";"";"";"";"";
"23.07.2016 14:00";"23.3";"717.3";"756.7";"-0.6";"52";"Ветер, дующий с запада";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Мгла. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"";"2500 или более, или облаков нет.";"";"";"1.0";"12.8";"";"";"";"";"";"";
"23.07.2016 11:00";"20.2";"717.9";"757.8";"-0.1";"62";"Ветер, дующий с северо-северо-запада";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Мгла. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"";"2500 или более, или облаков нет.";"";"";"1.0";"12.6";"";"";"";"";"";"";
"23.07.2016 08:00";"16.2";"718.0";"758.5";"1.4";"74";"Ветер, дующий с северо-запада";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"13.0";"";"";"";"";"";"";"0.5";"11.5";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"13.0";"";"";
"23.07.2016 05:00";"13.7";"716.6";"757.3";"1.1";"86";"Ветер, дующий с северо-северо-запада";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"4.0";"11.3";"";"";"";"";"";"";
"23.07.2016 02:00";"16.9";"715.5";"755.7";"1.0";"71";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"11.6";"";"";"";"";"";"";
